epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.15991,2.16888,6.21604,1.67669,0,0,0,0,4.11449,4.37733,3.14723,1.111e-05,1.111e-05,1.111e-05
2,7.83651,4.11504,4.53334,2.99473,0,0,0,0,4.05621,4.38048,3.08729,3.20101e-05,3.20101e-05,3.20101e-05
3,11.6727,4.14887,4.43948,2.96417,0,0,0,0,3.99083,4.36792,2.98804,5.11504e-05,5.11504e-05,5.11504e-05
4,15.7502,4.22323,4.66154,3.51917,0,0,0,0,4.01127,4.35907,2.97812,6.85309e-05,6.85309e-05,6.85309e-05
5,19.436,3.81716,4.38302,3.23337,0,0,0,0,4.01769,4.35795,2.97905,8.41516e-05,8.41516e-05,8.41516e-05
6,23.0618,3.84382,4.44753,3.0922,0,0,0,0,4.01769,4.35795,2.97905,9.80124e-05,9.80124e-05,9.80124e-05
7,27.0355,3.54116,4.34392,2.95717,0,0,0,0,3.98594,4.32999,2.9277,0.000110113,0.000110113,0.000110113
8,30.8872,3.8765,4.49408,2.80102,0,0,0,0,3.90079,4.3389,2.89282,0.000120455,0.000120455,0.000120455
9,34.4448,1.82074,6.17383,1.39947,0,0,0,0,3.90079,4.3389,2.89282,0.000129036,0.000129036,0.000129036
10,38.2666,3.69293,4.40463,2.9686,0,0,0,0,3.76387,4.36259,2.84334,0.000135858,0.000135858,0.000135858
11,42.0563,3.84765,4.32858,2.62464,0,0,0,0,3.76387,4.36259,2.84334,0.000140919,0.000140919,0.000140919
12,45.9779,3.32324,4.25605,2.72498,0,0,0,0,3.54818,4.43549,2.79536,0.000144221,0.000144221,0.000144221
13,49.5805,1.9258,6.14994,1.29113,0,0,0,0,3.54818,4.43549,2.79536,0.000145763,0.000145763,0.000145763
14,53.3634,3.59732,4.29696,2.52675,0,0,0,0,3.54818,4.43549,2.79536,0.000145545,0.000145545,0.000145545
15,57.0867,3.30352,4.28461,2.63981,0,0,0,0,3.41947,4.45857,2.7267,0.000143568,0.000143568,0.000143568
16,60.8431,3.36986,4.2484,2.63203,0,0,0,0,3.41947,4.45857,2.7267,0.00013983,0.00013983,0.00013983
17,64.5118,3.62213,4.36975,2.64189,0,0,0,0,3.41947,4.45857,2.7267,0.000134333,0.000134333,0.000134333
18,68.1976,3.69906,4.09918,2.81501,0.00532,0.02273,0.00278,0.00028,3.30665,4.41766,2.58574,0.000127076,0.000127076,0.000127076
19,71.806,3.30944,4.19239,2.56948,0.00532,0.02273,0.00278,0.00028,3.30665,4.41766,2.58574,0.000118059,0.000118059,0.000118059
20,75.6342,3.20396,4.25385,2.61052,0.00532,0.02273,0.00278,0.00028,3.30665,4.41766,2.58574,0.000107283,0.000107283,0.000107283
21,79.2403,3.25653,4.26801,2.29161,0,0,0,0,3.20486,4.3512,2.43602,9.47461e-05,9.47461e-05,9.47461e-05
22,82.9871,3.12324,4.18648,2.34469,0,0,0,0,3.20486,4.3512,2.43602,8.04497e-05,8.04497e-05,8.04497e-05
23,86.6626,3.18575,4.17348,2.58737,0,0,0,0,3.20486,4.3512,2.43602,6.43936e-05,6.43936e-05,6.43936e-05
